origin_country,destination_country,destination_region,diaspora_population,migration_type,year_estimate,source,continent
Sri Lanka,South Korea,East Asia,25000,Work,2023,Korea Immigration,Asia
Sri Lanka,Japan,East Asia,32000,Work,2023,MOJ Japan 2023,Asia
Nepal,India,South Asia,3200000,Work,2024,UN DESA 2024,Asia
Nepal,Qatar,Middle East,450000,Work,2024,UN DESA 2024,Asia
Nepal,Saudi Arabia,Middle East,340000,Work,2024,UN DESA 2024,Asia
Nepal,United Arab Emirates,Middle East,300000,Work,2024,UN DESA 2024,Asia
Nepal,Malaysia,Southeast Asia,500000,Work,2024,Nepal MOLESS,Asia
Nepal,Kuwait,Middle East,80000,Work,2024,UN DESA 2024,Asia
Nepal,United States,North America,200000,Permanent,2023,US Census ACS,North America
Nepal,United Kingdom,Europe,95000,Permanent,2021,UK Census 2021,Europe
Nepal,Australia,Oceania,130000,Permanent,2023,ABS 2023,Oceania
Nepal,Japan,East Asia,120000,Work,2023,MOJ Japan 2023,Asia
Nepal,South Korea,East Asia,45000,Work,2023,Korea Immigration,Asia
Nepal,Canada,North America,55000,Permanent,2021,Canada Census 2021,North America
Nepal,Bahrain,Middle East,30000,Work,2024,UN DESA 2024,Asia
